clade_name,SRR30598618,SRR30598619,SRR30598620,SRR30598621,SRR30598622,SRR30598623,SRR30598624,SRR30598625,SRR30598626,SRR30598627,SRR30598628,SRR30598629,SRR30598630,SRR30598631,SRR30598633,SRR30598634,SRR30598635,SRR30598636,SRR30598637,SRR30598638,SRR30598639,SRR30598640,SRR30598641,SRR30598642,SRR30598643,SRR30598644,SRR30598645,SRR30598646,SRR30598647,SRR30598648,SRR30598650,SRR30598651,SRR30598652,SRR30598653,SRR30598654,SRR30598655,SRR30598656
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0.03,0.0246,0,0.0328,0.0324,0.0093,0.3181,0.1811,0.0974,0,0.0272,0.0023,0.2396,0.0015,0,0,0.0123,0.0112,0.0676,0.0228,0,0.0657,0.0108,0.0112,0.2907,0.0993,0.0549,0.0158,0,0.02,0.1435,0.0155,0,0.0359,0.0018,0.091,0.0396
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces dentalis,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.0043,0,0,0.0016,0.0073,0,0,0,0,0,0.0023
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces dentalis|t__GCF_000429225.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.0043,0,0,0.0016,0.0073,0,0,0,0,0,0.0023
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces gerencseriae,0.0027,0,0,0,0,0,0,0,0.0042,0,0,0,0.0187,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces gerencseriae|t__GCF_000429265.1,0.0027,0,0,0,0,0,0,0,0.0042,0,0,0,0.0187,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces graevenitzii,0.0031,0,0,0,0,0,0.0737,0.0197,0.0459,0,0.0133,0,0.0909,0,0,0,0,0,0.0141,0,0,0,0,0,0.0645,0.0491,0.0233,0,0,0,0.0648,0.0122,0,0,0,0,0.0027
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces graevenitzii|t__GCF_000239695.1,0.0031,0,0,0,0,0,0.0737,0.0197,0.0459,0,0.0133,0,0.0909,0,0,0,0,0,0.0141,0,0,0,0,0,0.0645,0.0491,0.0233,0,0,0,0.0648,0.0122,0,0,0,0,0.0027
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces israelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0.0062,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces israelii|t__GCF_000711965.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0.0062,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces johnsonii,0,0.0044,0,0.0104,0,0,0,0.0121,0,0,0.0074,0,0.0215,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0.0172,0.0044
