# Pathway	SRR30598619_Coverage	SRR30598621_Coverage	SRR30598622_Coverage	SRR30598625_Coverage	SRR30598626_Coverage	SRR30598627_Coverage	SRR30598628_Coverage	SRR30598630_Coverage	SRR30598631_Coverage	SRR30598633_Coverage	SRR30598634_Coverage	SRR30598635_Coverage	SRR30598638_Coverage	SRR30598640_Coverage	SRR30598641_Coverage	SRR30598642_Coverage	SRR30598643_Coverage	SRR30598647_Coverage	SRR30598648_Coverage	SRR30598650_Coverage	SRR30598651_Coverage	SRR30598653_Coverage	SRR30598654_Coverage	SRR30598656_Coverage
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	0	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	1.0000000000	0	0	1.0000000000	0	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Alistipes.s__Alistipes_sp_CAG_435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0
UNINTEGRATED|g__Anaerococcus.s__Anaerococcus_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	1.0000000000	1.0000000000	1.0000000000	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	1.0000000000	0	0	0	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0
UNINTEGRATED|g__Arcanobacterium.s__Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Atopobium.s__Atopobium_parvulum	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	1.0000000000
UNINTEGRATED|g__Atopobium.s__Atopobium_rimae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Bacillales_unclassified.s__Flavobacterium_thermophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	1.0000000000	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	0	1.0000000000	0	1.0000000000	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	1.0000000000	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	1.0000000000	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_nordii	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	1.0000000000	1.0000000000	1.0000000000	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_530	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_CAG_770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	1.0000000000	0	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	1.0000000000	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	1.0000000000	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	1.0000000000	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0	0	0	0	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	0	1.0000000000	0	1.0000000000	0	0
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	0	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	0	1.0000000000	0	1.0000000000	0	0	0	1.0000000000	0	0	1.0000000000	0	0
UNINTEGRATED|g__Blautia.s__Blautia_coccoides	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000
UNINTEGRATED|g__Blautia.s__Blautia_obeum	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Blautia.s__Blautia_producta	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000
UNINTEGRATED|g__Blautia.s__Blautia_sp	1.0000000000	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Blautia.s__Blautia_sp_AF19_10LB	1.0000000000	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	1.0000000000	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	1.0000000000	0
