# Pathway	SRR30598618_Abundance
UNMAPPED	23435467.3583448268
UNINTEGRATED	37084233.4396139383
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	4419793.9383001169
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	2959267.6082008537
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	2211996.6068076994
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	2142065.8874836671
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1439048.8489993210
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	1396831.8950576235
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	1136884.3997225240
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	722484.7301661250
UNINTEGRATED|unclassified	669238.3402538549
UNINTEGRATED|g__Blautia.s__Blautia_obeum	636161.3306629737
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	608546.4446739993
UNINTEGRATED|g__Holdemanella.s__Holdemanella_biformis	577339.9038690587
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_CAG_241	570809.7231428792
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	557060.8940634093
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	483857.5569983475
UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus	465655.4120935803
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	432736.1534267608
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	396959.1619584598
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	369476.7214234992
UNINTEGRATED|g__Senegalimassilia.s__Senegalimassilia_anaerobia	367208.8088770245
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	351114.8113997637
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_129	341190.2893610520
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	322978.7709235337
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	309906.3588254008
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_110	298495.4791993727
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	297908.2538167149
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	287676.5785532270
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	283475.3813715372
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	282579.2079711114
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	276761.9239046781
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	267325.9892801745
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	264083.7611533891
UNINTEGRATED|g__Enterococcus.s__Enterococcus_hirae	260275.5236863599
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	229525.5912379158
UNINTEGRATED|g__Clostridium.s__Clostridium_ventriculi	228004.2080268204
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	221224.7204043282
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	219202.0134665745
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_254	216739.5622617600
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	207749.4524656543
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	206658.5461295996
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_180	194688.4207159491
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_aureus	178580.1646732553
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_194	178142.2289430892
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	168359.6580710620
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	164545.9523707464
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	158931.4085993853
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_624	140395.0466406101
UNINTEGRATED|g__Klebsiella.s__Klebsiella_variicola	131534.6687084805
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_221	130709.6825872679
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_176	129565.3874096788
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	128571.2516878436
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	125226.1982229701
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_170	107749.7026198207
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	106942.4992518739
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	103636.1441659061
UNINTEGRATED|g__Butyricimonas.s__Butyricimonas_virosa	94328.4690995557
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	93515.3694763610
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	92107.0176661117
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	90204.7688543738
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	87927.9678788943
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AM10_47	85668.3689042834
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	85032.4075660635
UNINTEGRATED|g__Intestinimonas.s__Intestinimonas_butyriciproducens	83033.0317028591
UNINTEGRATED|g__Cryptobacterium.s__Cryptobacterium_sp_CAG_338	79621.2618492453
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	76747.1229600581
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	76102.6849972652
UNINTEGRATED|g__Clostridiales_unclassified.s__Bacteroides_pectinophilus	70152.7389828615
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	68575.0485987152
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	67333.5645932872
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_471	65795.5323474288
UNINTEGRATED|g__Blautia.s__Blautia_sp	65528.4013648989
UNINTEGRATED|g__Enterobacter.s__Enterobacter_mori	65187.2307649167
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	65053.8291389339
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495	64663.1973687480
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21	62397.3486617667
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_488	61218.0336834816
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	59727.3805989807
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	56072.4015475363
UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_pamelaeae	47616.1570061164
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	44565.4807277644
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	43156.4971616546
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	39571.1797257564
UNINTEGRATED|g__Holdemania.s__Holdemania_filiformis	39382.7494772364
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	38283.2531227591
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	36750.9329985045
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_citroniae	34296.1870717095
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	31638.0493450322
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390	30094.6947277765
UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii	29690.9977669827
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_272	29149.8441811537
UNINTEGRATED|g__Dorea.s__Dorea_sp_OM02_2LB	28883.0088057613
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_OF09_6	27875.0939562142
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	26619.1765631257
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	24033.3265065913
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10	23897.5032102629
UNINTEGRATED|g__Enterobacter.s__Enterobacter_asburiae	21026.8474504393
UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	19734.4114415120
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_590	14835.8072106803
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_sp_CAG_318	14031.7344317027
UNINTEGRATED|g__Bacteroides.s__Bacteroides_nordii	8951.9416225453
UNINTEGRATED|g__Leclercia.s__Leclercia_adecarboxylata	8876.5558614595
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_102	8535.9525858470
UNINTEGRATED|g__Acetobacter.s__Acetobacter_sp_CAG_267	7202.4822577916
UNINTEGRATED|g__Lactococcus.s__Lactococcus_garvieae	6595.8740164030
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_CAG_382	6364.7506792540
UNINTEGRATED|g__Enterobacter.s__Enterobacter_roggenkampii	5826.4170098806
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis	5824.8783992349
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95	5438.2458215979
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_217	4771.5326295052
UNINTEGRATED|g__Candidatus_Melainabacteria_unclassified.s__Candidatus_Melainabacteria_bacterium_35_41	4559.6451514108
UNINTEGRATED|g__Actinomyces.s__Actinomyces_viscosus	3432.8562754366
UNINTEGRATED|g__Weissella.s__Weissella_cibaria	2735.7252458458
UNINTEGRATED|g__Actinomyces.s__Actinomyces_naeslundii	2652.2560492562
UNINTEGRATED|g__Lactococcus.s__Lactococcus_petauri	2544.8046526564
UNINTEGRATED|g__Weissella.s__Weissella_confusa	2441.2982524736
UNINTEGRATED|g__Actinomyces.s__Actinomyces_oris	2251.3164802193
PWY-7238: sucrose biosynthesis II	51052.5211141410
PWY-7238: sucrose biosynthesis II|unclassified	9378.8998190648
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bromii	7774.6901459524
PWY-7238: sucrose biosynthesis II|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	6846.3051586651
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2982.0174195095
PWY-7238: sucrose biosynthesis II|g__Escherichia.s__Escherichia_coli	1702.0428478982
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_longicatena	1418.7200748251
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_torques	1233.1559592747
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	1139.1080483364
PWY-7238: sucrose biosynthesis II|g__Alistipes.s__Alistipes_shahii	1121.0453818675
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	1015.7860630223
PWY-7238: sucrose biosynthesis II|g__Oscillibacter.s__Oscillibacter_sp_CAG_241	1003.8015998965
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	892.4414334224
PWY-7238: sucrose biosynthesis II|g__Holdemanella.s__Holdemanella_biformis	850.4880059752
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_129	796.3902561945
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp_CAG_52	677.0751233249
PWY-7238: sucrose biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	660.6762771776
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_sp_CAG_254	643.1985648593
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_110	622.9099102539
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	464.7059758878
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_clarus	460.6595380353
PWY-7238: sucrose biosynthesis II|g__Clostridium.s__Clostridium_ventriculi	440.3123134026
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_sp_CAG_180	425.4706810780
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_194	361.9187146673
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_170	300.2545896314
PWY-7238: sucrose biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	296.9486915520
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_formicigenerans	278.7232944241
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_176	238.3012368958
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_sp_CAG_624	207.9017060328
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_sp_CAG_471	171.4441422118
PWY-7238: sucrose biosynthesis II|g__Klebsiella.s__Klebsiella_pneumoniae	169.3799334277
PWY-7238: sucrose biosynthesis II|g__Coprococcus.s__Coprococcus_comes	168.0587725003
PWY-7238: sucrose biosynthesis II|g__Collinsella.s__Collinsella_aerofaciens	167.1661192173
PWY-7238: sucrose biosynthesis II|g__Clostridium.s__Clostridium_sp_CAG_221	150.6331379626
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	141.1962334955
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	138.0546490016
PWY-7238: sucrose biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	136.6403236420
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_ramulus	132.2435971717
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_sp_CAG_488	126.8703161814
PWY-7238: sucrose biosynthesis II|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495	120.4878582114
PWY-7238: sucrose biosynthesis II|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	118.0907412723
PWY-7238: sucrose biosynthesis II|g__Klebsiella.s__Klebsiella_variicola	117.5879711238
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AM10_47	109.9736238219
PWY-7238: sucrose biosynthesis II|g__Coprococcus.s__Coprococcus_catus	101.7033093072
PWY-7238: sucrose biosynthesis II|g__Klebsiella.s__Klebsiella_oxytoca	100.7686716833
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp	97.7128544509
PWY-7238: sucrose biosynthesis II|g__Clostridiales_unclassified.s__Bacteroides_pectinophilus	93.1261859940
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	88.5058269927
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans	87.8780283444
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_lactaris	81.2595719204
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_hominis	71.4029922846
PWY-7238: sucrose biosynthesis II|g__Intestinibacter.s__Intestinibacter_bartlettii	70.0363727208
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	61.0084650828
PWY-7238: sucrose biosynthesis II|g__Enterobacter.s__Enterobacter_mori	52.2414957786
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_sp_OM02_2LB	40.4813066193
PWY-7238: sucrose biosynthesis II|g__Clostridium.s__Clostridium_sp_CAG_590	40.4511074395
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	39.0847679097
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	36.1252331319
PWY-7238: sucrose biosynthesis II|g__Acetobacter.s__Acetobacter_sp_CAG_267	26.5294328708
PWY-7238: sucrose biosynthesis II|g__Agathobaculum.s__Agathobaculum_butyriciproducens	22.1259807434
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_102	14.0922387257
PWY-7238: sucrose biosynthesis II|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	12.7427908725
PWY-7238: sucrose biosynthesis II|g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390	9.4089449987
PWY-7238: sucrose biosynthesis II|g__Actinomyces.s__Actinomyces_viscosus	6.1487044799
PWY-7238: sucrose biosynthesis II|g__Actinomyces.s__Actinomyces_oris	3.7808695292
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_stercoris	3.4441448561
PWY-7238: sucrose biosynthesis II|g__Leclercia.s__Leclercia_adecarboxylata	1.8831863622
PWY-7238: sucrose biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae	1.0235894343
PWY-1042: glycolysis IV	47944.3522375273
PWY-1042: glycolysis IV|unclassified	12436.7412728046
PWY-1042: glycolysis IV|g__Escherichia.s__Escherichia_coli	1627.2770004955
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1578.3536879481
PWY-1042: glycolysis IV|g__Alistipes.s__Alistipes_shahii	1537.5778383199
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_dorei	1380.9372155122
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	1187.0045720782
PWY-1042: glycolysis IV|g__Clostridium.s__Clostridium_ventriculi	924.7700362133
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	893.4289125185
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_hallii	780.7721362037
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	571.4616439888
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	446.3066022895
PWY-1042: glycolysis IV|g__Prevotella.s__Prevotella_copri	343.0122013042
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_sp_CAG_624	328.2547736623
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp_CAG_52	303.8222418603
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_obeum	303.1304599584
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	250.0641525808
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_caccae	233.4563860859
PWY-1042: glycolysis IV|g__Eggerthella.s__Eggerthella_lenta	217.0139964476
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_formicigenerans	208.5817555521
PWY-1042: glycolysis IV|g__Parabacteroides.s__Parabacteroides_distasonis	159.4320916094
PWY-1042: glycolysis IV|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AM10_47	117.1593670856
PWY-1042: glycolysis IV|g__Klebsiella.s__Klebsiella_variicola	116.3295760106
PWY-1042: glycolysis IV|g__Coprococcus.s__Coprococcus_comes	114.8732935686
PWY-1042: glycolysis IV|g__Butyricimonas.s__Butyricimonas_virosa	112.8471237938
PWY-1042: glycolysis IV|g__Alistipes.s__Alistipes_putredinis	112.6675543430
PWY-1042: glycolysis IV|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495	107.9047446336
PWY-1042: glycolysis IV|g__Coprococcus.s__Coprococcus_catus	104.4803799960
PWY-1042: glycolysis IV|g__Collinsella.s__Collinsella_aerofaciens	102.3384079648
PWY-1042: glycolysis IV|g__Desulfovibrio.s__Desulfovibrio_piger	91.3573640582
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_hominis	81.9708280040
PWY-1042: glycolysis IV|g__Klebsiella.s__Klebsiella_pneumoniae	78.6098120854
PWY-1042: glycolysis IV|g__Intestinibacter.s__Intestinibacter_bartlettii	77.4196491163
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_fragilis	76.2440887323
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_lactaris	71.3292050603
PWY-1042: glycolysis IV|g__Enterobacter.s__Enterobacter_mori	70.9065534336
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	65.3029998599
PWY-1042: glycolysis IV|g__Gordonibacter.s__Gordonibacter_pamelaeae	60.9782859193
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	53.5531401857
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_inulinivorans	40.0211098691
PWY-1042: glycolysis IV|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	32.8103840807
PWY-1042: glycolysis IV|g__Agathobaculum.s__Agathobaculum_butyriciproducens	28.4158074915
PWY-1042: glycolysis IV|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	23.6011802895
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_nordii	19.2343386919
PWY-1042: glycolysis IV|g__Lactococcus.s__Lactococcus_lactis	4.4499052957
PWY-1042: glycolysis IV|g__Klebsiella.s__Klebsiella_oxytoca	3.4368744438
PWY-1042: glycolysis IV|g__Enterobacter.s__Enterobacter_cloacae	2.9320942152
VALSYN-PWY: L-valine biosynthesis	47693.6613973176
VALSYN-PWY: L-valine biosynthesis|unclassified	8462.8133641976
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcus.s__Ruminococcus_bromii	8082.0173255012
VALSYN-PWY: L-valine biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	5013.9242598503
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	3195.1662532679
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	2982.6017016747
VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1029.1496885365
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_torques	781.3003320733
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_dorei	765.9067776002
VALSYN-PWY: L-valine biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	710.2072343072
VALSYN-PWY: L-valine biosynthesis|g__Senegalimassilia.s__Senegalimassilia_anaerobia	697.9950998807
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_obeum	691.5030945586
VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_longicatena	654.6340950796
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_hallii	561.6295285253
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_sp_CAG_180	528.2509776603
VALSYN-PWY: L-valine biosynthesis|g__Clostridium.s__Clostridium_sp_CAG_221	509.6927828205
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_clarus	482.5708204525
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	452.1243805806
VALSYN-PWY: L-valine biosynthesis|g__Barnesiella.s__Barnesiella_intestinihominis	444.6037988385
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcus.s__Ruminococcus_sp_CAG_254	419.6346686909
VALSYN-PWY: L-valine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	412.4644735805
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_wexlerae	374.8302249939
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	365.9459369190
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_caccae	323.3147988284
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_copri	310.5701576314
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_194	310.3998884471
VALSYN-PWY: L-valine biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	304.0412978331
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcus.s__Ruminococcus_sp_CAG_624	303.5117436750
VALSYN-PWY: L-valine biosynthesis|g__Eggerthella.s__Eggerthella_lenta	296.9249548212
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	291.1840044776
VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_formicigenerans	259.3915765519
VALSYN-PWY: L-valine biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	228.6328854769
VALSYN-PWY: L-valine biosynthesis|g__Coprococcus.s__Coprococcus_comes	224.4911893033
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp	182.4155819892
VALSYN-PWY: L-valine biosynthesis|g__Desulfovibrio.s__Desulfovibrio_piger	157.9310536840
