"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III"	"sick"	"SM"	"sickSM"	2.94086919446187	0.575662398280218	0.784517800588256	0.00515098097953492	0.0216706951269191	0.0102754293540183	0.0278983431385981	NA	"abundance"	37	35
"PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis"	"sick"	"SM"	"sickSM"	-1.75498888009735	0.575662398280218	0.774377097090681	0.00532736606230166	0.0222402739887669	0.0106263512954416	0.0286968310384919	NA	"abundance"	37	34
"PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)"	"sick"	"SM"	"sickSM"	2.43339554986441	0.575662398280218	0.619745834135726	0.00534892665552622	0.0222402739887669	0.00534892665552622	0.016571827981845	NA	"abundance"	37	37
"PWY-7873: D-erythronate degradation II"	"sick"	"SM"	"sickSM"	2.62335020040972	0	0.946698337420741	0.00558755247239393	0.0230973826039075	0.0111438842021561	0.0299343697983448	NA	"prevalence"	37	30
"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I"	"sick"	"SM"	"sickSM"	-0.137590119101486	0.575662398280218	0.225964201149542	0.00566373426642963	0.023276965684575	0.00566373426642963	0.0174401573447986	NA	"abundance"	37	37
"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate"	"sick"	"SM"	"sickSM"	3.19783670685961	0.575662398280218	0.890590048479289	0.00606729379019078	0.024779853401693	0.00606729379019078	0.0184434468141743	NA	"abundance"	37	35
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate"	"sick"	"SM"	"sickSM"	3.19783670685961	0.575662398280218	0.890590048479289	0.00609912003557844	0.024779853401693	0.00609912003557844	0.0184434468141743	NA	"abundance"	37	35
"PWY-6328: L-lysine degradation X"	"sick"	"SM"	"sickSM"	3.34048938363689	0.575662398280218	0.937963550713282	0.00622088042169233	0.0251309430671775	0.00622088042169233	0.0186996703152061	NA	"abundance"	37	33
"PWY0-1221: putrescine degradation II"	"sick"	"SM"	"sickSM"	3.41083398214875	0.575662398280218	0.965730246265241	0.00637843711794095	0.0256218575754577	0.00637843711794095	0.0190598268908886	NA	"abundance"	37	33
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)"	"sick"	"SM"	"sickSM"	0.139153013848474	0.575662398280218	0.126319717199077	0.00679162566351021	0.0266524073566765	0.00679162566351021	0.0199151464610793	NA	"abundance"	37	37
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate"	"sick"	"SM"	"sickSM"	1.81040404148819	0.575662398280218	0.421279071032889	0.00682241651042914	0.0266524073566765	0.00682241651042914	0.0199151464610793	NA	"abundance"	37	37
"PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)"	"sick"	"SM"	"sickSM"	-1.08929207549069	0.575662398280218	0.571871423427024	0.00680583487966624	0.0266524073566765	0.00680583487966624	0.0199151464610793	NA	"abundance"	37	37
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II"	"sick"	"SM"	"sickSM"	2.85077280588091	0.575662398280218	0.781887319699906	0.00671370187079967	0.0266524073566765	0.0133823299487894	0.0348354465161785	NA	"abundance"	37	35
"PWY66-399: gluconeogenesis III"	"sick"	"SM"	"sickSM"	-1.31198113812941	0.575662398280218	0.648192377062918	0.00669389202549364	0.0266524073566765	0.0133429758605383	0.0348354465161785	NA	"abundance"	37	36
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)"	"sick"	"SM"	"sickSM"	-0.0466132378454517	0.575662398280218	0.200603651599129	0.00698182175378248	0.0271260943548598	0.00698182175378248	0.0202633332509204	NA	"abundance"	37	37
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)"	"sick"	"SM"	"sickSM"	2.16216906173085	0.575662398280218	0.551627459182526	0.00733222767317943	0.0283326841066879	0.00733222767317943	0.0208486485129435	NA	"abundance"	37	37
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II"	"sick"	"SM"	"sickSM"	2.55875661499784	0.575662398280218	0.69458316819717	0.00769281610263461	0.0295653635079633	0.0153264527856803	0.0386992932838427	NA	"abundance"	37	35
